account_id,product_id,ownership_status,current_acv_usd,contract_start_date,contract_end_date,renewal_risk,usage_score,adoption_score,expansion_eligible_flag
A0002,P001,Not Owned,0,,,,0,0,
A0002,P002,Not Owned,0,,,,0,0,
A0002,P003,Not Owned,0,,,,0,0,
A0002,P004,Not Owned,0,,,,0,0,
A0002,P005,Not Owned,0,,,,0,0,
A0002,P006,Not Owned,0,,,,0,0,
A0002,P007,Owned,79430,2023-08-23,2026-08-07,Medium,55,54,No
A0002,P008,Not Owned,0,,,,0,0,
A0004,P001,Not Owned,0,,,,0,0,
A0004,P002,Owned,312347,2024-08-31,2027-08-16,Low,87,96,Yes
A0004,P003,Not Owned,0,,,,0,0,
A0004,P004,Owned,194726,2024-04-04,2026-03-25,Medium,56,45,No
A0004,P005,Not Owned,0,,,,0,0,
A0004,P006,Owned,231054,2023-09-24,2026-09-08,Medium,58,48,No
A0004,P007,Not Owned,0,,,,0,0,
A0004,P008,Not Owned,0,,,,0,0,
A0005,P001,Owned,167361,2024-07-02,2026-06-22,High,50,52,No
A0005,P002,Owned,220933,2023-02-25,2024-02-20,Low,92,89,Yes
A0005,P003,Owned,170791,2025-05-27,2026-05-22,Low,80,62,Yes
A0005,P004,Owned,145212,2025-01-25,2026-01-20,High,48,50,No
A0005,P005,Not Owned,0,,,,0,0,
A0005,P006,Not Owned,0,,,,0,0,
A0005,P007,Not Owned,0,,,,0,0,
A0005,P008,Not Owned,0,,,,0,0,
A0006,P001,Not Owned,0,,,,0,0,
A0006,P002,Not Owned,0,,,,0,0,
A0006,P003,Not Owned,0,,,,0,0,
A0006,P004,Owned,75217,2023-02-21,2026-02-05,Low,83,79,Yes
A0006,P005,Not Owned,0,,,,0,0,
A0006,P006,Not Owned,0,,,,0,0,
A0006,P007,Owned,59650,2023-03-27,2025-03-16,Low,78,77,Yes
A0006,P008,Not Owned,0,,,,0,0,
A0009,P001,Not Owned,0,,,,0,0,
A0009,P002,Not Owned,0,,,,0,0,
A0009,P003,Owned,147926,2023-05-20,2024-05-14,High,47,32,No
A0009,P004,Not Owned,0,,,,0,0,
A0009,P005,Owned,93369,2025-04-02,2026-03-28,Low,89,95,Yes
A0009,P006,Not Owned,0,,,,0,0,
A0009,P007,Not Owned,0,,,,0,0,
A0009,P008,Not Owned,0,,,,0,0,
A0013,P001,Not Owned,0,,,,0,0,
A0013,P002,Not Owned,0,,,,0,0,
A0013,P003,Owned,131741,2025-01-08,2027-12-24,Low,79,90,Yes
A0013,P004,Owned,138601,2024-11-28,2026-11-18,Medium,66,72,Yes
A0013,P005,Owned,86110,2025-02-22,2026-02-17,Low,94,99,Yes
A0013,P006,Not Owned,0,,,,0,0,
A0013,P007,Not Owned,0,,,,0,0,
A0013,P008,Not Owned,0,,,,0,0,
A0017,P001,Owned,198427,2023-06-18,2026-06-02,Low,85,87,Yes
A0017,P002,Not Owned,0,,,,0,0,
A0017,P003,Not Owned,0,,,,0,0,
A0017,P004,Not Owned,0,,,,0,0,
A0017,P005,Not Owned,0,,,,0,0,
A0017,P006,Not Owned,0,,,,0,0,
A0017,P007,Not Owned,0,,,,0,0,
A0017,P008,Not Owned,0,,,,0,0,
A0024,P001,Not Owned,0,,,,0,0,
A0024,P002,Owned,203727,2025-04-04,2026-03-30,Medium,73,75,Yes
A0024,P003,Not Owned,0,,,,0,0,
A0024,P004,Not Owned,0,,,,0,0,
A0024,P005,Not Owned,0,,,,0,0,
A0024,P006,Owned,178225,2025-03-17,2028-03-01,Low,92,82,Yes
A0024,P007,Not Owned,0,,,,0,0,
A0024,P008,Owned,152743,2023-01-27,2026-01-11,High,54,60,No
A0025,P001,Not Owned,0,,,,0,0,
A0025,P002,Not Owned,0,,,,0,0,
A0025,P003,Owned,143500,2023-03-29,2026-03-13,High,54,53,No
A0025,P004,Not Owned,0,,,,0,0,
A0025,P005,Owned,109724,2024-08-13,2027-07-29,Low,75,72,Yes
A0025,P006,Not Owned,0,,,,0,0,
