market_id,industry,geography,company_size,buyer_persona,total_companies,addressable_pct,tam_value_usd,average_budget_usd,market_growth_rate,competitive_intensity,regulatory_complexity
M0001,Healthcare,North America,Strategic,CFO,154,0.292,45717209,884053,0.106,High,High
M0002,Healthcare,North America,Strategic,CRO,145,0.228,25973863,748246,0.088,Low,High
M0003,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,1089898,0.097,High,High
M0004,Healthcare,North America,Strategic,Product,115,0.262,29642758,1093143,0.051,High,High
M0005,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,480331,0.063,Low,High
M0006,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,341313,0.066,Medium,High
M0007,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,646692,0.116,High,High
M0008,Healthcare,North America,Enterprise,Product,430,0.292,43537842,385277,0.072,Medium,High
M0009,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,211178,0.075,High,High
M0010,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,98414,0.12,Medium,High
M0011,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,220870,0.077,High,High
M0012,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,243245,0.08,Medium,High
M0013,Healthcare,Europe,Strategic,CFO,198,0.352,59738096,745325,0.125,Low,High
M0014,Healthcare,Europe,Strategic,CRO,138,0.375,57242219,1053457,0.14,Medium,High
M0015,Healthcare,Europe,Strategic,Strategy,94,0.25,21849971,929786,0.047,Medium,High
M0016,Healthcare,Europe,Strategic,Product,226,0.448,84396758,926183,0.088,Low,High
M0017,Healthcare,Europe,Enterprise,CFO,666,0.378,143608060,496038,0.092,High,High
M0018,Healthcare,Europe,Enterprise,CRO,288,0.304,32970551,358650,0.127,High,High
M0019,Healthcare,Europe,Enterprise,Strategy,429,0.283,41874124,344907,0.121,High,High
M0020,Healthcare,Europe,Enterprise,Product,741,0.253,99253736,588255,0.063,High,High
M0021,Healthcare,Europe,Mid-Market,CFO,1330,0.416,109256810,171714,0.077,Medium,High
M0022,Healthcare,Europe,Mid-Market,CRO,1303,0.337,49234530,106784,0.07,Medium,High
M0023,Healthcare,Europe,Mid-Market,Strategy,952,0.222,22754985,107668,0.13,High,High
M0024,Healthcare,Europe,Mid-Market,Product,973,0.292,59158747,231356,0.049,High,High
M0025,Healthcare,APAC,Strategic,CFO,254,0.343,107888221,1076833,0.045,Medium,High
M0026,Healthcare,APAC,Strategic,CRO,237,0.445,78270016,706802,0.041,Medium,High
M0027,Healthcare,APAC,Strategic,Strategy,135,0.269,40687507,1120405,0.054,Medium,High
M0028,Healthcare,APAC,Strategic,Product,125,0.444,37595566,752664,0.123,High,High
M0029,Healthcare,APAC,Enterprise,CFO,423,0.346,85882728,510260,0.052,Low,High
M0030,Healthcare,APAC,Enterprise,CRO,487,0.424,113127723,521777,0.104,Medium,High
M0031,Healthcare,APAC,Enterprise,Strategy,507,0.472,165635220,692154,0.041,Medium,High
M0032,Healthcare,APAC,Enterprise,Product,659,0.235,47667586,342001,0.042,Low,High
M0033,Healthcare,APAC,Mid-Market,CFO,913,0.465,120030058,245849,0.039,Low,High
M0034,Healthcare,APAC,Mid-Market,CRO,1096,0.273,50150387,159629,0.077,Medium,High
M0035,Healthcare,APAC,Mid-Market,Strategy,1167,0.462,113295664,210136,0.1,Medium,High
M0036,Healthcare,APAC,Mid-Market,Product,1454,0.275,65311898,181490,0.127,High,High
M0037,Healthcare,Middle East,Strategic,CFO,105,0.334,39008143,967212,0.036,High,High
M0038,Healthcare,Middle East,Strategic,CRO,94,0.464,36216750,790814,0.128,Medium,High
M0039,Healthcare,Middle East,Strategic,Strategy,71,0.377,27022250,1009536,0.088,Medium,High
