product_market_id,market_id,product_id,product_name,product_family,product_category,product_tier,target_persona,bundle_eligible_flag,industry,geography,company_size,buyer_persona,total_companies,addressable_pct,segment_tam_value_usd,base_acv_usd,product_fit_score,product_tam_share_pct,product_tam_value_usd,product_addressable_accounts_est,product_average_budget_usd,market_growth_rate,competitive_intensity,regulatory_complexity,tam_allocation_method
M0001_P001,M0001,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Strategic,CFO,154,0.292,45717209,150000,1.207363,0.104745,4788648,5,957730,0.106,High,High,Normalized persona x industry x company-size x ACV fit weights
M0001_P002,M0001,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Strategic,CFO,154,0.292,45717209,175000,2.580223,0.223848,10233692,10,1023369,0.106,High,High,Normalized persona x industry x company-size x ACV fit weights
M0001_P003,M0001,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Strategic,CFO,154,0.292,45717209,135000,0.889865,0.0772,3529385,3,1176462,0.106,High,High,Normalized persona x industry x company-size x ACV fit weights
M0001_P004,M0001,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Strategic,CFO,154,0.292,45717209,120000,1.062291,0.092159,4213264,4,1053316,0.106,High,High,Normalized persona x industry x company-size x ACV fit weights
M0001_P005,M0001,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Strategic,CFO,154,0.292,45717209,90000,0.713523,0.061902,2829977,3,943326,0.106,High,High,Normalized persona x industry x company-size x ACV fit weights
M0001_P006,M0001,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Strategic,CFO,154,0.292,45717209,160000,2.33164,0.202282,9247760,9,1027529,0.106,High,High,Normalized persona x industry x company-size x ACV fit weights
M0001_P007,M0001,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Strategic,CFO,154,0.292,45717209,80000,0.766602,0.066507,3040501,3,1013500,0.106,High,High,Normalized persona x industry x company-size x ACV fit weights
M0001_P008,M0001,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Strategic,CFO,154,0.292,45717209,110000,1.975184,0.171357,7833982,8,979248,0.106,High,High,Normalized persona x industry x company-size x ACV fit weights
M0002_P001,M0002,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Strategic,CRO,145,0.228,25973863,150000,1.207363,0.120446,3128458,4,782114,0.088,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0002_P002,M0002,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Strategic,CRO,145,0.228,25973863,175000,1.414961,0.141156,3666376,5,733275,0.088,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0002_P003,M0002,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Strategic,CRO,145,0.228,25973863,135000,1.622695,0.16188,4204644,5,840929,0.088,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0002_P004,M0002,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Strategic,CRO,145,0.228,25973863,120000,1.93712,0.193247,5019366,6,836561,0.088,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0002_P005,M0002,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Strategic,CRO,145,0.228,25973863,90000,0.713523,0.071181,1848844,2,924422,0.088,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0002_P006,M0002,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Strategic,CRO,145,0.228,25973863,160000,1.278641,0.127557,3313151,4,828288,0.088,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0002_P007,M0002,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Strategic,CRO,145,0.228,25973863,80000,0.766602,0.076476,1986381,3,662127,0.088,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0002_P008,M0002,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Strategic,CRO,145,0.228,25973863,110000,1.083165,0.108056,2806643,4,701661,0.088,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0003_P001,M0003,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,150000,2.201662,0.220203,17848729,16,1115546,0.097,High,High,Normalized persona x industry x company-size x ACV fit weights
M0003_P002,M0003,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,175000,1.414961,0.14152,11470998,11,1042818,0.097,High,High,Normalized persona x industry x company-size x ACV fit weights
M0003_P003,M0003,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,135000,0.889865,0.089001,7214076,7,1030582,0.097,High,High,Normalized persona x industry x company-size x ACV fit weights
